Date,Start Time,End Time,Latest Booking Date,Latest Booking Time,"Rate, PLN",Description,User Id,Commission enabled,Commission in percent,Commission
08/04/2024,20:15:00,21:15:00,08/04/2024,12:00,-,Management,,,,
10/04/2024,20:15:00,21:15:00,10/04/2024,12:00,-,Management,,,,
11/04/2024,19:15:00,21:15:00,11/04/2024,12:00,-,Management,,,,
12/04/2024,20:15:00,21:15:00,12/04/2024,12:00,-,Management,,,,
15/04/2024,20:15:00,21:15:00,15/04/2024,12:00,-,Management,,,,
17/04/2024,20:15:00,21:15:00,17/04/2024,12:00,-,Management,,,,
18/04/2024,19:15:00,21:15:00,18/04/2024,12:00,-,Management,,,,
19/04/2024,20:15:00,21:15:00,19/04/2024,12:00,-,Management,,,,
22/04/2024,20:15:00,21:15:00,22/04/2024,12:00,-,Management,,,,
24/04/2024,20:15:00,21:15:00,24/04/2024,12:00,-,Management,,,,
25/04/2024,19:15:00,21:15:00,25/04/2024,12:00,-,Management,,,,
26/04/2024,20:15:00,21:15:00,26/04/2024,12:00,-,Management,,,,
29/04/2024,20:15:00,21:15:00,29/04/2024,12:00,-,Management,,,,
06/05/2024,20:15:00,21:15:00,06/05/2024,12:00,-,Management,,,,
08/05/2024,20:15:00,21:15:00,08/05/2024,12:00,-,Management,,,,
09/05/2024,19:15:00,21:15:00,09/05/2024,12:00,-,Management,,,,
10/05/2024,20:15:00,21:15:00,10/05/2024,12:00,-,Management,,,,
13/05/2024,20:15:00,21:15:00,13/05/2024,12:00,-,Management,,,,
15/05/2024,20:15:00,21:15:00,15/05/2024,12:00,-,Management,,,,
16/05/2024,19:15:00,21:15:00,16/05/2024,12:00,-,Management,,,,
17/05/2024,20:15:00,21:15:00,17/05/2024,12:00,-,Management,,,,
20/05/2024,20:15:00,21:15:00,20/05/2024,12:00,-,Management,,,,
22/05/2024,20:15:00,21:15:00,22/05/2024,12:00,-,Management,,,,
23/05/2024,19:15:00,21:15:00,23/05/2024,12:00,-,Management,,,,
24/05/2024,20:15:00,21:15:00,24/05/2024,12:00,-,Management,,,,
27/05/2024,20:15:00,21:15:00,27/05/2024,12:00,-,Management,,,,
29/05/2024,20:15:00,21:15:00,29/05/2024,12:00,-,Management,,,,
03/06/2024,20:15:00,21:15:00,03/06/2024,12:00,-,Management,,,,
05/06/2024,20:15:00,21:15:00,05/06/2024,12:00,-,Management,,,,
06/06/2024,19:15:00,21:15:00,06/06/2024,12:00,-,Management,,,,
07/06/2024,20:15:00,21:15:00,07/06/2024,12:00,-,Management,,,,
10/06/2024,20:15:00,21:15:00,10/06/2024,12:00,-,Management,,,,
12/06/2024,20:15:00,21:15:00,12/06/2024,12:00,-,Management,,,,
13/06/2024,19:15:00,21:15:00,13/06/2024,12:00,-,Management,,,,
14/06/2024,20:15:00,21:15:00,14/06/2024,12:00,-,Management,,,,
17/06/2024,20:15:00,21:15:00,17/06/2024,12:00,-,Management,,,,
19/06/2024,20:15:00,21:15:00,19/06/2024,12:00,-,Management,,,,
20/06/2024,19:15:00,21:15:00,20/06/2024,12:00,-,Management,,,,
21/06/2024,20:15:00,21:15:00,21/06/2024,12:00,-,Management,,,,
